epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.9129,0.90936,2.65666,1.46683,0.78409,0.32993,0.40142,0.29943,0.86477,2.29632,1.64383,0.00329502,0.00329502,0.00329502
2,112.033,0.75033,1.43226,1.28385,0.51908,0.68333,0.56663,0.37679,1.05836,2.19524,2.01396,0.00659554,0.00659554,0.00659554
3,154.829,0.80296,1.2319,1.30974,0.2977,0.49701,0.31005,0.11989,1.66729,2.28771,2.52613,0.00986307,0.00986307,0.00986307
4,195.21,0.80846,1.05445,1.3104,0.24307,0.5745,0.29094,0.05242,2.4383,2.87497,3.36157,0.0098515,0.0098515,0.0098515
5,236.168,0.77286,0.91728,1.28273,0.30127,0.3881,0.31448,0.20296,1.20115,4.2966,2.35898,0.009802,0.009802,0.009802
6,277.828,0.75911,0.87088,1.27093,0.4941,0.71228,0.55622,0.39723,0.88706,1.91798,1.64376,0.0097525,0.0097525,0.0097525
7,317.789,0.73965,0.82754,1.25144,0.7411,0.83681,0.85545,0.67588,0.8268,0.76057,1.62998,0.009703,0.009703,0.009703
8,357.723,0.72198,0.79587,1.24925,0.5177,0.78925,0.66173,0.47259,0.88847,0.9845,1.64518,0.0096535,0.0096535,0.0096535
9,399.281,0.7138,0.77719,1.24099,0.8001,0.85909,0.88834,0.72289,0.72476,0.59448,1.44267,0.009604,0.009604,0.009604
10,447.422,0.70207,0.75226,1.23097,0.60938,0.89877,0.77327,0.62809,0.74007,0.88141,1.4498,0.0095545,0.0095545,0.0095545
11,494.479,0.69985,0.74953,1.23066,0.54384,0.84943,0.74639,0.61023,0.70715,1.02116,1.4413,0.009505,0.009505,0.009505
12,539.599,0.68765,0.72658,1.22062,0.64828,0.88602,0.81177,0.65907,0.69959,0.76662,1.43285,0.0094555,0.0094555,0.0094555
13,585.561,0.68597,0.72457,1.22421,0.62918,0.82197,0.7976,0.62401,0.78835,0.93151,1.50131,0.009406,0.009406,0.009406
14,632.336,0.67793,0.7119,1.21924,0.80781,0.83701,0.87404,0.71556,0.72264,0.62335,1.46905,0.0093565,0.0093565,0.0093565
15,675.429,0.67303,0.70149,1.21399,0.83686,0.85317,0.89323,0.73611,0.68938,0.55949,1.40928,0.009307,0.009307,0.009307
16,718.147,0.66929,0.69753,1.20909,0.83466,0.80814,0.88144,0.72645,0.70567,0.608,1.43796,0.0092575,0.0092575,0.0092575
17,759.248,0.66195,0.68949,1.20946,0.73807,0.84716,0.86145,0.68603,0.77662,0.69466,1.50042,0.009208,0.009208,0.009208
18,801.17,0.66151,0.6768,1.20418,0.80215,0.86914,0.89081,0.7375,0.68482,0.58267,1.42049,0.0091585,0.0091585,0.0091585
19,843.304,0.65067,0.66517,1.19936,0.58964,0.86843,0.76263,0.63642,0.68124,1.23151,1.38234,0.009109,0.009109,0.009109
20,886.315,0.65265,0.6587,1.19993,0.7313,0.87043,0.87943,0.72386,0.68907,0.63318,1.43,0.0090595,0.0090595,0.0090595
21,927.325,0.64884,0.6538,1.19352,0.68931,0.86706,0.84395,0.69136,0.73371,0.82199,1.43371,0.00901,0.00901,0.00901
22,968.329,0.6372,0.6369,1.18936,0.79716,0.88698,0.88875,0.73234,0.6829,0.62266,1.38742,0.0089605,0.0089605,0.0089605
23,1009.77,0.63668,0.63908,1.18826,0.79065,0.89931,0.9002,0.75107,0.68411,0.56185,1.3935,0.008911,0.008911,0.008911
24,1054.29,0.63579,0.63066,1.18522,0.76377,0.87527,0.9022,0.75169,0.67448,0.62795,1.37686,0.0088615,0.0088615,0.0088615
25,1096.39,0.63564,0.61212,1.18691,0.7706,0.81192,0.84215,0.68159,0.74683,0.66691,1.52354,0.008812,0.008812,0.008812
26,1138.05,0.62809,0.61649,1.18084,0.81109,0.90256,0.91288,0.76591,0.67786,0.5221,1.40385,0.0087625,0.0087625,0.0087625
27,1179.28,0.62316,0.60425,1.18141,0.81646,0.83986,0.87369,0.72335,0.67896,0.60049,1.37081,0.008713,0.008713,0.008713
28,1219.56,0.62088,0.59949,1.17707,0.72793,0.81513,0.82024,0.69063,0.68164,0.85523,1.40309,0.0086635,0.0086635,0.0086635
29,1263.16,0.61974,0.60181,1.17501,0.71825,0.88271,0.84571,0.7071,0.67513,0.75651,1.37824,0.008614,0.008614,0.008614
30,1309.48,0.61563,0.5901,1.17084,0.80573,0.87866,0.90455,0.76249,0.67227,0.54884,1.36111,0.0085645,0.0085645,0.0085645
31,1355.31,0.61604,0.57826,1.17487,0.69837,0.88839,0.81718,0.6796,0.67962,0.8709,1.3801,0.008515,0.008515,0.008515
