epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1924.38,0.57657,0.49983,1.15044,0.86307,0.90209,0.91632,0.77458,0.65773,0.50936,1.3682,0.007921,0.007921,0.007921
44,1967.98,0.5756,0.49382,1.1476,0.70636,0.86848,0.80762,0.67488,0.68298,0.84357,1.41005,0.0078715,0.0078715,0.0078715
45,2011.55,0.57346,0.495,1.14662,0.81801,0.88717,0.89615,0.75294,0.67025,0.5484,1.37461,0.007822,0.007822,0.007822
46,2055.87,0.56897,0.48391,1.1423,0.80551,0.847,0.8929,0.74003,0.68772,0.65804,1.4406,0.0077725,0.0077725,0.0077725
47,2100.52,0.56946,0.49144,1.14344,0.64184,0.8,0.73209,0.61768,0.67551,1.0991,1.38689,0.007723,0.007723,0.007723
48,2144.02,0.57208,0.48118,1.1445,0.73309,0.88715,0.86791,0.72624,0.67802,0.89327,1.39384,0.0076735,0.0076735,0.0076735
49,2188.26,0.56479,0.47571,1.14085,0.69013,0.84601,0.80147,0.68043,0.64477,0.97103,1.34998,0.007624,0.007624,0.007624
50,2232.77,0.55604,0.47711,1.13013,0.79208,0.82282,0.8624,0.72426,0.66549,0.74864,1.36737,0.0075745,0.0075745,0.0075745
51,2276.3,0.55971,0.46865,1.13695,0.80686,0.84182,0.86175,0.72039,0.66844,0.77059,1.42027,0.007525,0.007525,0.007525
52,2320.45,0.5505,0.4701,1.12917,0.79441,0.89737,0.89401,0.75345,0.66144,0.58395,1.37344,0.0074755,0.0074755,0.0074755
53,2365.15,0.5541,0.47092,1.13708,0.82017,0.88296,0.91622,0.77199,0.66611,0.54614,1.4142,0.007426,0.007426,0.007426
54,2408.32,0.55022,0.45959,1.13405,0.74278,0.90064,0.87895,0.739,0.6739,0.66742,1.40558,0.0073765,0.0073765,0.0073765
55,2452.09,0.54976,0.45299,1.1268,0.76265,0.84284,0.84578,0.71457,0.64861,0.78394,1.37443,0.007327,0.007327,0.007327
56,2495.06,0.53712,0.45592,1.12133,0.78473,0.85441,0.8749,0.73022,0.68128,0.62765,1.40966,0.0072775,0.0072775,0.0072775
57,2540.16,0.53477,0.45148,1.12162,0.75533,0.85463,0.84156,0.7109,0.67314,0.75392,1.40335,0.007228,0.007228,0.007228
58,2583.97,0.53768,0.44269,1.12273,0.83053,0.89676,0.90466,0.75662,0.67125,0.55771,1.39202,0.0071785,0.0071785,0.0071785
59,2628.59,0.53427,0.44935,1.11902,0.82316,0.85902,0.89249,0.74202,0.68584,0.58192,1.41522,0.007129,0.007129,0.007129
60,2672.7,0.52563,0.43046,1.11267,0.77771,0.88556,0.89048,0.75326,0.66137,0.71712,1.40841,0.0070795,0.0070795,0.0070795
61,2717.56,0.528,0.43482,1.11633,0.85238,0.88064,0.9171,0.77383,0.66956,0.56203,1.39999,0.00703,0.00703,0.00703
62,2761.29,0.52817,0.43416,1.11763,0.81667,0.89237,0.88854,0.74939,0.67154,0.6771,1.38698,0.0069805,0.0069805,0.0069805
63,2806.12,0.5212,0.42084,1.11023,0.84318,0.86091,0.89756,0.75446,0.6663,0.64284,1.40887,0.006931,0.006931,0.006931
64,2852.4,0.51483,0.42058,1.10929,0.68777,0.84269,0.80238,0.67015,0.68909,0.92705,1.43287,0.0068815,0.0068815,0.0068815
65,2896.85,0.51292,0.41512,1.10462,0.78442,0.87897,0.87731,0.74504,0.65758,0.77042,1.40154,0.006832,0.006832,0.006832
66,2941.58,0.51218,0.41435,1.1069,0.80886,0.81999,0.87332,0.72938,0.68453,0.67515,1.4502,0.0067825,0.0067825,0.0067825
67,2985.36,0.51167,0.40954,1.10512,0.80006,0.87162,0.88698,0.74834,0.68055,0.64021,1.41105,0.006733,0.006733,0.006733
68,3029.38,0.50982,0.40988,1.10228,0.83108,0.88765,0.8941,0.75242,0.65926,0.59096,1.4059,0.0066835,0.0066835,0.0066835
69,3073.42,0.50327,0.40534,1.10111,0.83111,0.87317,0.89771,0.75967,0.67759,0.60599,1.41743,0.006634,0.006634,0.006634
70,3117.45,0.50203,0.4014,1.10148,0.73083,0.89618,0.86947,0.73235,0.67886,0.89319,1.41315,0.0065845,0.0065845,0.0065845
71,3161.74,0.50083,0.40995,1.09994,0.80228,0.8516,0.87414,0.72521,0.72493,0.62273,1.50756,0.006535,0.006535,0.006535
72,3207.05,0.49523,0.39855,1.09521,0.81411,0.90706,0.9049,0.76391,0.67688,0.58011,1.42772,0.0064855,0.0064855,0.0064855
73,3252.88,0.49408,0.39522,1.09345,0.8531,0.87282,0.89818,0.75559,0.67038,0.59765,1.44032,0.006436,0.006436,0.006436
74,3296.68,0.49406,0.4022,1.09297,0.83353,0.88593,0.90503,0.76461,0.66971,0.60745,1.41022,0.0063865,0.0063865,0.0063865
75,3341.62,0.4819,0.3885,1.08662,0.8379,0.89099,0.91123,0.76978,0.6655,0.59677,1.41546,0.006337,0.006337,0.006337
76,3384.78,0.48176,0.387,1.08326,0.8288,0.88335,0.90291,0.76062,0.66772,0.57488,1.41954,0.0062875,0.0062875,0.0062875
77,3429.55,0.4815,0.38335,1.08296,0.77434,0.87934,0.87851,0.74671,0.65726,0.63645,1.41431,0.006238,0.006238,0.006238
78,3473.42,0.48034,0.3862,1.08023,0.787,0.88486,0.88713,0.75179,0.6696,0.66523,1.43062,0.0061885,0.0061885,0.0061885
79,3518.14,0.47486,0.38022,1.08165,0.81215,0.87458,0.89326,0.75853,0.66448,0.66935,1.41879,0.006139,0.006139,0.006139
80,3561.33,0.47008,0.37103,1.07411,0.78378,0.8542,0.85269,0.72348,0.66621,0.76785,1.45529,0.0060895,0.0060895,0.0060895
81,3604.97,0.47387,0.38295,1.08031,0.80247,0.87984,0.8922,0.75805,0.664,0.63647,1.43799,0.00604,0.00604,0.00604
82,3649.34,0.46729,0.37103,1.07258,0.81344,0.90017,0.9052,0.76282,0.68379,0.60682,1.4849,0.0059905,0.0059905,0.0059905
83,3693.33,0.46819,0.37284,1.07565,0.80692,0.88856,0.90074,0.76891,0.67042,0.66456,1.44646,0.005941,0.005941,0.005941
84,3738.07,0.46809,0.36767,1.07298,0.87176,0.88266,0.90321,0.76101,0.67422,0.59285,1.45195,0.0058915,0.0058915,0.0058915
85,3781.49,0.44855,0.35983,1.06111,0.83548,0.89177,0.90944,0.76645,0.67809,0.54767,1.45315,0.005842,0.005842,0.005842
86,3825.18,0.45747,0.36269,1.07207,0.8608,0.85789,0.89957,0.76737,0.66689,0.61758,1.43021,0.0057925,0.0057925,0.0057925
87,3869.95,0.45752,0.3561,1.06344,0.83832,0.90639,0.9118,0.77721,0.66111,0.56349,1.44489,0.005743,0.005743,0.005743
88,3913.32,0.45101,0.35433,1.0653,0.83116,0.87159,0.89536,0.75871,0.66937,0.62236,1.41826,0.0056935,0.0056935,0.0056935
89,3956.78,0.44747,0.35684,1.06091,0.86548,0.86716,0.90961,0.76898,0.67506,0.62693,1.47556,0.005644,0.005644,0.005644
90,4001.55,0.45127,0.35661,1.0631,0.86325,0.84368,0.89831,0.75962,0.67834,0.65344,1.44936,0.0055945,0.0055945,0.0055945
91,4044.88,0.43859,0.34522,1.05913,0.8479,0.85587,0.8963,0.75993,0.67718,0.65912,1.46332,0.005545,0.005545,0.005545
92,4088.42,0.44161,0.3506,1.0595,0.82784,0.87325,0.89717,0.76158,0.66679,0.62277,1.45521,0.0054955,0.0054955,0.0054955
93,4132.12,0.4374,0.3412,1.06199,0.82192,0.90926,0.91353,0.77485,0.67086,0.58477,1.47147,0.005446,0.005446,0.005446
94,4177.32,0.42956,0.33302,1.04826,0.84584,0.88069,0.91151,0.77508,0.67511,0.62013,1.47063,0.0053965,0.0053965,0.0053965
95,4221.28,0.43257,0.33851,1.05438,0.84904,0.87861,0.90989,0.77813,0.66483,0.61232,1.45388,0.005347,0.005347,0.005347
